"MBC_URL","IMDB_URL","Film","Year","Body_Count"
"http://www.moviebodycounts.com/Reservoir_Dogs.htm","http://www.imdb.com/title/tt0105236/","Reservoir Dogs",1992,12
"http://www.moviebodycounts.com/Resident_Evil_Apocalypse.htm","http://www.imdb.com/title/tt0318627/","Resident Evil: Apocalypse",2004,246
"http://www.moviebodycounts.com/Resident_Evil_Extinction.htm","http://www.imdb.com/title/tt0432021/","Resident Evil: Extinction",2007,248
"http://www.moviebodycounts.com/Riders.htm","http://imdb.com/title/tt0282552/","Riders",2002,6
"http://www.moviebodycounts.com/Ripleys_Game.htm","http://www.imdb.com/title/tt0265651/","Ripley's Game",2002,11
"http://www.moviebodycounts.com/Ritana.htm","http://www.imdb.com/title/tt0339579/","Ritana",2002,91
"http://www.moviebodycounts.com/Road_House.htm","http://www.imdb.com/title/tt0098206/","Road House",1989,7
"http://www.moviebodycounts.com/Robocop.htm","http://us.imdb.com/title/tt0093870/","RoboCop",1987,34
"http://www.moviebodycounts.com/RocknRolla.htm","http://www.imdb.com/title/tt1032755/","RocknRolla",2008,22
"http://www.moviebodycounts.com/The_Rock.htm","http://www.imdb.com/title/tt0117500/","The Rock",1996,24
"http://www.moviebodycounts.com/Romeo_is_Bleeding.htm","http://us.imdb.com/title/tt0107983/","Romeo is Bleeding",1993,15
"http://www.moviebodycounts.com/Ronin.htm","http://imdb.com/title/tt0122690/","Ronin",1998,34
"http://www.moviebodycounts.com/Prince_of_Jutland.htm","http://www.imdb.com/title/tt0110891/","Prince of Jutland",1994,38
"http://www.moviebodycounts.com/Rundown.htm","http://www.imdb.com/title/tt0327850/","The Rundown",2003,46
"http://www.moviebodycounts.com/The_Running_Man.htm","http://www.imdb.com/title/tt0093894/","The Running Man",1987,78
"http://www.moviebodycounts.com/Running_Scared_2006.htm","http://www.imdb.com/title/tt0404390/","Running Scared",2006,22
"http://www.moviebodycounts.com/Sahara.htm","http://www.imdb.com/title/tt0318649/","Sahara",2005,68
"http://www.moviebodycounts.com/Saving_Private_Ryan.htm","http://www.imdb.com/title/tt0120815/","Saving Private Ryan",1998,255
"http://www.moviebodycounts.com/Scarface.htm","http://www.imdb.com/title/tt0086250/","Scarface",1983,44
